
trip_id,user_id,age,visited_city,preferred_budget,preferred_avg_temp,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,rating
1,1,44,Bujumbura,3,20.8,4,2,3,3,2,4,3,3,2,3.8
2,1,44,Banff,3,20.8,4,2,3,3,2,4,3,3,2,3.4
3,1,44,Astana,3,20.8,4,2,3,3,2,4,3,3,2,3.8
4,1,44,Brno,3,20.8,4,2,3,3,2,4,3,3,2,4.6
5,1,44,Barcelona,3,20.8,4,2,3,3,2,4,3,3,2,3.9
6,2,29,Chefchaouen,2,16.6,3,2,2,4,4,4,0,3,0,3.7
7,2,29,Matera,2,16.6,3,2,2,4,4,4,0,3,0,4.0
8,2,29,Bern,2,16.6,3,2,2,4,4,4,0,3,0,4.2
9,2,29,St. George's,2,16.6,3,2,2,4,4,4,0,3,0,4.2
10,3,64,Antalya,3,20.0,5,3,2,3,0,2,2,3,4,3.8
11,3,64,Hallstatt,3,20.0,5,3,2,3,0,2,2,3,4,3.8
12,3,64,Tbilisi,3,20.0,5,3,2,3,0,2,2,3,4,3.1
13,4,48,Turin,2,24.1,4,4,2,3,2,4,3,2,1,3.7
14,4,48,Panama City,2,24.1,4,4,2,3,2,4,3,2,1,4.2
15,4,48,Cancun,2,24.1,4,4,2,3,2,4,3,2,1,3.1
16,4,48,Carcassonne,2,24.1,4,4,2,3,2,4,3,2,1,3.6
17,4,48,Busan,2,24.1,4,4,2,3,2,4,3,2,1,3.9
18,4,48,Krakow,2,24.1,4,4,2,3,2,4,3,2,1,4.1
19,4,48,Portland,2,24.1,4,4,2,3,2,4,3,2,1,4.4
20,4,48,Ladakh,2,24.1,4,4,2,3,2,4,3,2,1,3.8
21,4,48,Beira,2,24.1,4,4,2,3,2,4,3,2,1,3.8
22,5,20,Salento,1,29.5,2,4,2,2,3,4,1,4,1,4.2
23,5,20,Glasgow,1,29.5,2,4,2,2,3,4,1,4,1,4.3
24,5,20,St. Louis,1,29.5,2,4,2,2,3,4,1,4,1,4.3
25,5,20,Dublin,1,29.5,2,4,2,2,3,4,1,4,1,4.6
26,5,20,Zagreb,1,29.5,2,4,2,2,3,4,1,4,1,4.2
27,5,20,Krabi,1,29.5,2,4,2,2,3,4,1,4,1,4.2
28,5,20,Zanzibar Town,1,29.5,2,4,2,2,3,4,1,4,1,4.8
29,5,20,Almaty,1,29.5,2,4,2,2,3,4,1,4,1,4.4
30,6,51,Los Angeles,3,16.4,3,2,5,3,0,3,2,4,4,3.9
31,6,51,Lomé,3,16.4,3,2,5,3,0,3,2,4,4,4.0
32,6,51,Birmingham,3,16.4,3,2,5,3,0,3,2,4,4,3.4
33,6,51,York,3,16.4,3,2,5,3,0,3,2,4,4,3.4
34,7,37,Carcassone,1,20.0,2,3,2,3,2,5,2,2,2,4.4
35,7,37,Lake Tahoe,1,20.0,2,3,2,3,2,5,2,2,2,4.3
36,8,47,Rosario,3,26.8,4,2,2,3,2,4,2,3,1,4.1
37,8,47,Macau,3,26.8,4,2,2,3,2,4,2,3,1,4.6
38,8,47,Oslo,3,26.8,4,2,2,3,2,4,2,3,1,4.5
39,9,44,Bridgetown,2,35,2,1,2,3,3,5,4,3,1,4.5
40,9,44,Taupo,2,35,2,1,2,3,3,5,4,3,1,4.4
41,9,44,Budapest,2,35,2,1,2,3,3,5,4,3,1,4.3
42,10,18,Zagreb,3,22.8,3,3,4,2,3,5,2,5,1,4.1
43,10,18,Murmansk,3,22.8,3,3,4,2,3,5,2,5,1,4.2
44,10,18,Phnom Penh,3,22.8,3,3,4,2,3,5,2,5,1,4.2
45,10,18,Baltimore,3,22.8,3,3,4,2,3,5,2,5,1,3.7
46,10,18,San Pedro de Atacama,3,22.8,3,3,4,2,3,5,2,5,1,4.0
47,10,18,Naples,3,22.8,3,3,4,2,3,5,2,5,1,3.7
48,10,18,Sighisoara,3,22.8,3,3,4,2,3,5,2,5,1,3.6
49,10,18,Luang Prabang,3,22.8,3,3,4,2,3,5,2,5,1,3.6
50,10,18,Auckland,3,22.8,3,3,4,2,3,5,2,5,1,4.1
51,10,18,Rio de Janeiro,3,22.8,3,3,4,2,3,5,2,5,1,3.9
52,10,18,Charlotte,3,22.8,3,3,4,2,3,5,2,5,1,3.7
53,10,18,Saaremaa Island,3,22.8,3,3,4,2,3,5,2,5,1,3.8
54,10,18,London,3,22.8,3,3,4,2,3,5,2,5,1,3.4
55,10,18,Lomé,3,22.8,3,3,4,2,3,5,2,5,1,3.8
56,10,18,Galápagos Islands,3,22.8,3,3,4,2,3,5,2,5,1,4.2
57,10,18,Bishkek,3,22.8,3,3,4,2,3,5,2,5,1,4.0
58,10,18,Belgrade,3,22.8,3,3,4,2,3,5,2,5,1,4.2
59,10,18,Fort Lauderdale,3,22.8,3,3,4,2,3,5,2,5,1,3.6
60,11,35,Victoria,1,16.9,5,3,4,3,2,4,3,3,1,3.4
61,11,35,Lusaka,1,16.9,5,3,4,3,2,4,3,3,1,3.9
62,11,35,Whistler,1,16.9,5,3,4,3,2,4,3,3,1,3.4
63,11,35,Granada,1,16.9,5,3,4,3,2,4,3,3,1,3.5
64,11,35,Salvador da Bahia,1,16.9,5,3,4,3,2,4,3,3,1,3.6
65,11,35,Abu Dhabi,1,16.9,5,3,4,3,2,4,3,3,1,4.1
66,11,35,Praia,1,16.9,5,3,4,3,2,4,3,3,1,3.2
67,11,35,New York City,1,16.9,5,3,4,3,2,4,3,3,1,3.6
68,11,35,Viña del Mar,1,16.9,5,3,4,3,2,4,3,3,1,3.6
69,12,37,Quebec City,2,20.0,2,3,4,3,2,5,3,3,3,3.9
70,12,37,Cork,2,20.0,2,3,4,3,2,5,3,3,3,4.2
71,12,37,Saaremaa Island,2,20.0,2,3,4,3,2,5,3,3,3,4.3
72,12,37,Lahore,2,20.0,2,3,4,3,2,5,3,3,3,4.3
73,12,37,Blantyre,2,20.0,2,3,4,3,2,5,3,3,3,4.0
74,13,34,São Tomé,3,26.3,3,3,2,4,3,4,0,5,1,3.5
75,13,34,Bristol,3,26.3,3,3,2,4,3,4,0,5,1,4.2
76,13,34,Moorea,3,26.3,3,3,2,4,3,4,0,5,1,3.6
77,13,34,Perth,3,26.3,3,3,2,4,3,4,0,5,1,4.3
78,14,23,Ghent,2,28.9,3,3,2,3,3,4,1,4,0,4.5
79,14,23,Trondheim,2,28.9,3,3,2,3,3,4,1,4,0,4.7
80,15,46,Lautoka,3,18.4,3,1,3,4,0,3,1,2,2,3.4
81,15,46,Cancun,3,18.4,3,1,3,4,0,3,1,2,2,2.9
82,15,46,Birmingham,3,18.4,3,1,3,4,0,3,1,2,2,3.2
83,16,37,Athens,2,22.0,5,4,4,4,0,5,4,3,1,3.8
84,16,37,Puerto Vallarta,2,22.0,5,4,4,4,0,5,4,3,1,2.5
85,16,37,Nadi,2,22.0,5,4,4,4,0,5,4,3,1,3.1
86,16,37,Las Vegas,2,22.0,5,4,4,4,0,5,4,3,1,1.7
87,16,37,Yangon,2,22.0,5,4,4,4,0,5,4,3,1,3.3
88,16,37,Rio de Janeiro,2,22.0,5,4,4,4,0,5,4,3,1,2.2
89,16,37,Funchal,2,22.0,5,4,4,4,0,5,4,3,1,3.0
90,16,37,Chiang Mai,2,22.0,5,4,4,4,0,5,4,3,1,2.5
91,17,46,San Sebastián,2,16.7,2,4,3,2,1,3,3,4,1,4.3
92,17,46,Darwin,2,16.7,2,4,3,2,1,3,3,4,1,4.1
93,17,46,Bristol,2,16.7,2,4,3,2,1,3,3,4,1,4.4
94,17,46,Hamilton Island,2,16.7,2,4,3,2,1,3,3,4,1,3.7
95,17,46,Puerto Vallarta,2,16.7,2,4,3,2,1,3,3,4,1,3.9
96,17,46,Oslo,2,16.7,2,4,3,2,1,3,3,4,1,3.9
97,18,18,Fukuoka,2,27.4,2,5,3,2,5,2,1,5,0,3.6
98,18,18,Sal,2,27.4,2,5,3,2,5,2,1,5,0,3.6
99,18,18,Ghent,2,27.4,2,5,3,2,5,2,1,5,0,3.3
100,18,18,Adelaide,2,27.4,2,5,3,2,5,2,1,5,0,3.6
101,18,18,Port Douglas,2,27.4,2,5,3,2,5,2,1,5,0,3.9
102,18,18,Salento,2,27.4,2,5,3,2,5,2,1,5,0,3.4
103,18,18,Denver,2,27.4,2,5,3,2,5,2,1,5,0,3.6
104,18,18,Muscat,2,27.4,2,5,3,2,5,2,1,5,0,3.4
105,18,18,Rennes,2,27.4,2,5,3,2,5,2,1,5,0,3.5
106,18,18,Great Barrier Reef,2,27.4,2,5,3,2,5,2,1,5,0,3.9
107,18,18,Gdansk,2,27.4,2,5,3,2,5,2,1,5,0,3.7
108,18,18,Helsinki,2,27.4,2,5,3,2,5,2,1,5,0,3.6
109,18,18,Vilamoura,2,27.4,2,5,3,2,5,2,1,5,0,3.9
110,18,18,Verona,2,27.4,2,5,3,2,5,2,1,5,0,3.5
111,18,18,Beira,2,27.4,2,5,3,2,5,2,1,5,0,3.4
112,18,18,Accra,2,27.4,2,5,3,2,5,2,1,5,0,3.1
113,18,18,Toronto,2,27.4,2,5,3,2,5,2,1,5,0,3.3
114,18,18,St Petersburg,2,27.4,2,5,3,2,5,2,1,5,0,3.7
115,18,18,Jeju Island,2,27.4,2,5,3,2,5,2,1,5,0,3.5
116,19,33,Algarve,3,22.5,5,1,3,2,4,2,3,3,2,3.2
117,19,33,Antalya,3,22.5,5,1,3,2,4,2,3,3,2,3.4
118,20,29,Brazzaville,2,21.7,1,3,2,2,2,4,2,4,0,5.0
119,20,29,Nagoya,2,21.7,1,3,2,2,2,4,2,4,0,4.6
120,20,29,Seychelles,2,21.7,1,3,2,2,2,4,2,4,0,3.8
121,20,29,Raja Ampat,2,21.7,1,3,2,2,2,4,2,4,0,4.2
122,21,54,Nuremberg,3,11.4,5,1,4,1,0,4,3,1,3,3.4
123,21,54,Stockholm,3,11.4,5,1,4,1,0,4,3,1,3,3.0
124,21,54,Bergen,3,11.4,5,1,4,1,0,4,3,1,3,3.3
125,22,18,Valdivia,2,33.6,3,5,1,5,5,4,1,5,0,3.2
126,22,18,Belfast,2,33.6,3,5,1,5,5,4,1,5,0,2.3
127,22,18,Yangshuo,2,33.6,3,5,1,5,5,4,1,5,0,3.1
128,23,31,Tromsø,2,20.6,3,2,2,2,4,3,1,3,2,4.2
129,23,31,Marseille,2,20.6,3,2,2,2,4,3,1,3,2,4.6
130,23,31,Sarajevo,2,20.6,3,2,2,2,4,3,1,3,2,4.3
131,24,18,Podgorica,2,14.5,1,3,3,3,5,2,2,3,0,3.3
132,24,18,Varanasi,2,14.5,1,3,3,3,5,2,2,3,0,3.6
133,24,18,Munich,2,14.5,1,3,3,3,5,2,2,3,0,3.2
134,24,18,Zurich,2,14.5,1,3,3,3,5,2,2,3,0,3.9
135,24,18,Belgrade,2,14.5,1,3,3,3,5,2,2,3,0,4.0
136,24,18,Sibiu,2,14.5,1,3,3,3,5,2,2,3,0,3.3
137,24,18,Bern,2,14.5,1,3,3,3,5,2,2,3,0,3.9
138,25,65,Manila,1,29.4,5,0,5,4,1,4,5,3,4,2.6
139,25,65,Iquitos,1,29.4,5,0,5,4,1,4,5,3,4,3.2
140,25,65,Freetown,1,29.4,5,0,5,4,1,4,5,3,4,2.7
141,25,65,Bay of Islands,1,29.4,5,0,5,4,1,4,5,3,4,2.3
142,25,65,Nairobi,1,29.4,5,0,5,4,1,4,5,3,4,2.8
143,25,65,Gdansk,1,29.4,5,0,5,4,1,4,5,3,4,2.9
144,25,65,Palermo,1,29.4,5,0,5,4,1,4,5,3,4,3.3
145,26,18,Siem Reap,1,28.4,2,3,4,3,3,2,0,5,1,3.9
146,26,18,Dallas,1,28.4,2,3,4,3,3,2,0,5,1,4.4
147,26,18,Bridgetown,1,28.4,2,3,4,3,3,2,0,5,1,3.7
148,27,36,Cayenne,1,26.0,5,2,3,4,3,3,4,3,3,3.2
149,27,36,Cleveland,1,26.0,5,2,3,4,3,3,4,3,3,3.4
150,27,36,Honolulu,1,26.0,5,2,3,4,3,3,4,3,3,3.3
151,27,36,Sharm El Sheikh,1,26.0,5,2,3,4,3,3,4,3,3,3.4
152,27,36,Lille,1,26.0,5,2,3,4,3,3,4,3,3,3.9
153,27,36,Seoul,1,26.0,5,2,3,4,3,3,4,3,3,3.4
154,27,36,Shanghai,1,26.0,5,2,3,4,3,3,4,3,3,4.0
155,27,36,Sao Paulo,1,26.0,5,2,3,4,3,3,4,3,3,3.2
156,27,36,Marrakesh,1,26.0,5,2,3,4,3,3,4,3,3,3.1
157,27,36,Krakow,1,26.0,5,2,3,4,3,3,4,3,3,3.3
158,27,36,Lyon,1,26.0,5,2,3,4,3,3,4,3,3,3.8
159,27,36,Berlin,1,26.0,5,2,3,4,3,3,4,3,3,3.5
160,28,33,Cork,2,27.5,5,2,3,2,4,3,0,3,3,3.7
161,28,33,Edmonton,2,27.5,5,2,3,2,4,3,0,3,3,3.6
162,28,33,Dubai,2,27.5,5,2,3,2,4,3,0,3,3,3.9
163,28,33,Halifax,2,27.5,5,2,3,2,4,3,0,3,3,3.8
164,28,33,Siem Reap,2,27.5,5,2,3,2,4,3,0,3,3,3.6
165,28,33,Bordeaux,2,27.5,5,2,3,2,4,3,0,3,3,4.2
166,28,33,Gjirokastër,2,27.5,5,2,3,2,4,3,0,3,3,3.8
167,28,33,Khiva,2,27.5,5,2,3,2,4,3,0,3,3,3.6
168,28,33,Florence,2,27.5,5,2,3,2,4,3,0,3,3,4.4
169,29,22,Antwerp,2,22.6,2,4,2,2,5,3,1,4,1,3.8
170,29,22,Izmir,2,22.6,2,4,2,2,5,3,1,4,1,4.5
171,30,48,Cesky Krumlov,2,19.3,2,2,4,2,1,5,2,4,2,4.6
172,30,48,Krakow,2,19.3,2,2,4,2,1,5,2,4,2,4.7
173,30,48,Essaouira,2,19.3,2,2,4,2,1,5,2,4,2,3.9
174,30,48,Islamabad,2,19.3,2,2,4,2,1,5,2,4,2,4.5
175,31,30,Portland,2,9.4,4,1,1,2,4,2,1,4,2,4.1
176,31,30,Panama City,2,9.4,4,1,1,2,4,2,1,4,2,3.4
177,31,30,Amsterdam,2,9.4,4,1,1,2,4,2,1,4,2,3.7
178,31,30,Baños,2,9.4,4,1,1,2,4,2,1,4,2,3.7
179,31,30,Macau,2,9.4,4,1,1,2,4,2,1,4,2,3.4
180,31,30,Cancun,2,9.4,4,1,1,2,4,2,1,4,2,3.4
181,31,30,Livingstone,2,9.4,4,1,1,2,4,2,1,4,2,3.9
182,31,30,Trondheim,2,9.4,4,1,1,2,4,2,1,4,2,3.7
183,31,30,Belgrade,2,9.4,4,1,1,2,4,2,1,4,2,4.2
184,31,30,Havana,2,9.4,4,1,1,2,4,2,1,4,2,4.1
185,32,18,Zion National Park,2,26.0,4,2,1,3,4,2,1,4,1,3.5
186,32,18,Tanna Island,2,26.0,4,2,1,3,4,2,1,4,1,3.3
187,32,18,Hualien,2,26.0,4,2,1,3,4,2,1,4,1,4.3
188,32,18,Bologna,2,26.0,4,2,1,3,4,2,1,4,1,3.9
189,32,18,Akureyri,2,26.0,4,2,1,3,4,2,1,4,1,3.5
190,32,18,Byron Bay,2,26.0,4,2,1,3,4,2,1,4,1,3.0
191,32,18,Toulouse,2,26.0,4,2,1,3,4,2,1,4,1,3.3
192,32,18,Hue,2,26.0,4,2,1,3,4,2,1,4,1,3.4
193,32,18,Baku,2,26.0,4,2,1,3,4,2,1,4,1,4.0
194,33,68,Oaxaca City,2,12.6,4,1,4,2,0,3,2,3,3,3.8
195,33,68,Algarve,2,12.6,4,1,4,2,0,3,2,3,3,3.4
196,33,68,Luxembourg City,2,12.6,4,1,4,2,0,3,2,3,3,3.5
197,33,68,Ghent,2,12.6,4,1,4,2,0,3,2,3,3,3.4
198,33,68,Lucca,2,12.6,4,1,4,2,0,3,2,3,3,3.6
199,33,68,Zanzibar,2,12.6,4,1,4,2,0,3,2,3,3,3.1
200,33,68,Reykjavík,2,12.6,4,1,4,2,0,3,2,3,3,3.8
201,34,33,Marrakesh,1,17.4,4,3,4,2,3,5,1,4,2,3.7
202,34,33,Venice,1,17.4,4,3,4,2,3,5,1,4,2,4.3
203,34,33,Kigali,1,17.4,4,3,4,2,3,5,1,4,2,3.9
204,34,33,San Salvador,1,17.4,4,3,4,2,3,5,1,4,2,3.5
205,34,33,Catania,1,17.4,4,3,4,2,3,5,1,4,2,3.8
206,34,33,Muscat,1,17.4,4,3,4,2,3,5,1,4,2,3.8
207,35,33,Guanajuato,1,25.0,5,2,2,3,2,5,1,3,1,4.7
208,35,33,Portland,1,25.0,5,2,2,3,2,5,1,3,1,4.5
209,35,33,Sapporo,1,25.0,5,2,2,3,2,5,1,3,1,4.4
210,35,33,Bogotá,1,25.0,5,2,2,3,2,5,1,3,1,4.3
211,35,33,Punta del Este,1,25.0,5,2,2,3,2,5,1,3,1,4.0
212,35,33,Luanda,1,25.0,5,2,2,3,2,5,1,3,1,4.7
213,35,33,Colmar,1,25.0,5,2,2,3,2,5,1,3,1,4.0
214,36,27,Stockholm,2,22.8,4,3,3,4,3,3,1,4,1,3.9
215,36,27,Maputo,2,22.8,4,3,3,4,3,3,1,4,1,3.6
216,36,27,Reykjavík,2,22.8,4,3,3,4,3,3,1,4,1,3.7
217,37,21,Providenciales,2,29.8,1,2,2,2,5,3,2,5,0,3.9
218,37,21,Calgary,2,29.8,1,2,2,2,5,3,2,5,0,4.3
219,38,39,Santiago de Chile,2,14.4,4,2,4,3,1,5,1,3,3,3.7
220,38,39,Georgetown,2,14.4,4,2,4,3,1,5,1,3,3,4.3
221,38,39,Nashville,2,14.4,4,2,4,3,1,5,1,3,3,4.0
222,39,28,Biarritz,2,18.5,3,2,2,3,4,3,2,5,1,4.6
223,39,28,Búzios,2,18.5,3,2,2,3,4,3,2,5,1,3.8
224,39,28,Hallstatt,2,18.5,3,2,2,3,4,3,2,5,1,4.4
225,39,28,Raja Ampat,2,18.5,3,2,2,3,4,3,2,5,1,4.0
226,39,28,Taormina,2,18.5,3,2,2,3,4,3,2,5,1,3.9
227,40,29,Seychelles,3,18.0,2,4,3,4,2,4,1,4,1,4.4
228,40,29,Murmansk,3,18.0,2,4,3,4,2,4,1,4,1,3.9
229,40,29,Nafplio,3,18.0,2,4,3,4,2,4,1,4,1,4.3
